state,year,act participation,act english,act math,act reading,act science,act composite,sat participation,sat read & write,sat math,sat total
Alabama,2017,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165
Alaska,2017,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080
Arizona,2017,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116
Arkansas,2017,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208
California,2017,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055
Colorado,2017,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201
Connecticut,2017,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1041
Delaware,2017,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,996
District of Columbia,2017,0.32,24.4,23.5,24.9,23.5,24.2,1.0,482,468,950
Florida,2017,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017
Georgia,2017,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050
Hawaii,2017,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085
Idaho,2017,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1005
Illinois,2017,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115
Indiana,2017,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074
Iowa,2017,0.67,21.2,21.3,22.6,22.1,21.9,0.02,641,635,1275
Kansas,2017,0.73,21.1,21.3,22.3,21.7,21.7,0.04,632,628,1260
Kentucky,2017,1.0,19.6,19.4,20.5,20.1,20.0,0.04,631,616,1247
Louisiana,2017,1.0,19.4,18.8,19.8,19.6,19.5,0.04,611,586,1198
Maine,2017,0.08,24.2,24.0,24.8,23.7,24.3,0.95,513,499,1012
Maryland,2017,0.28,23.3,23.1,24.2,23.2,23.6,0.69,536,524,1060
Massachusetts,2017,0.29,25.4,25.3,25.9,24.7,25.4,0.76,555,551,1107
Michigan,2017,0.29,24.1,23.7,24.5,23.8,24.1,1.0,509,495,1005
Minnesota,2017,1.0,20.4,21.5,21.8,21.6,21.5,0.03,644,651,1295
Mississippi,2017,1.0,18.2,18.1,18.8,18.8,18.6,0.02,634,607,1242
Missouri,2017,1.0,19.8,19.9,20.8,20.5,20.4,0.03,640,631,1271
Montana,2017,1.0,19.0,20.2,21.0,20.5,20.3,0.1,605,591,1196
Nebraska,2017,0.84,20.9,20.9,21.9,21.5,21.4,0.03,629,625,1253
Nevada,2017,1.0,16.3,18.0,18.1,18.2,17.8,0.26,563,553,1116
New Hampshire,2017,0.18,25.4,25.1,26.0,24.9,25.5,0.96,532,520,1052
New Jersey,2017,0.34,23.8,23.8,24.1,23.2,23.9,0.7,530,526,1056
New Mexico,2017,0.66,18.6,19.4,20.4,20.0,19.7,0.11,577,561,1138
New York,2017,0.31,23.8,24.0,24.6,23.9,24.2,0.67,528,523,1052
